date,view,like,coin,favorite,share,danmaku,reply,title,desc,pic
2022-07-30 12:05:00,9028,2693,482,239,69,312,113,MC 1.20 绝 密 内 容 曝 光,"1.有些设计师在用户头上悬挂一个钓竿，只不过诱饵并非钻石。
2.“刚出生的婴儿又有什么用呢？”创意提供者花岗岩先生如是说道。
===============
企划&拍摄 GoWon7
文案 GoWon7 LongingCha
配音 _小兰喵_
创意 GoWon7 ABCwewe
地图&Logo GoldenEggs_Block
材质 葫芦涂
剪辑 GoWon7 GoldenEggs_Block
===============
本期用到的BGM：
【开场】Destination DC
【第一节】Blue
【第二节】Shake Down
【第三节】Life In the Fast Lane
【结尾】你 被 骗 了
===============",http://i1.hdslb.com/bfs/archive/cd1ace5e48ebef64269bd7d310e884a9aeb3d70a.jpg
2022-07-30 13:05:00,19077,4979,992,507,144,407,153,〃,〃,〃
2022-07-30 14:05:00,24915,6250,1250,673,181,464,173,〃,〃,〃
2022-07-30 15:05:00,29754,7127,1402,792,211,497,183,〃,〃,〃
2022-07-30 16:05:00,35474,7995,1580,909,248,532,194,〃,〃,〃
2022-07-30 17:05:00,41076,8741,1689,991,280,593,209,〃,〃,〃
2022-07-30 18:05:00,46038,9433,1837,1092,314,633,219,〃,"1.有些设计师在用户头上悬挂一个钓竿，只不过诱饵并非钻石。
2.“刚出生的婴儿又有什么用呢？”创意提供者花岗岩先生如是说道。
===============
企划&拍摄 GoWon7
文案 GoWon7 LongingCha
配音 _小兰喵_
创意 GoWon7 ABCwewe
地图&Logo GoldenEggs_Block
材质 葫芦涂
剪辑 GoWon7 GoldenEggs_Block
猪灵模型来自 田头MichaelCreeper
===============
本期用到的BGM：
【开场】Destination DC
【第一节】Blue
【第二节】Shake Down
【第三节】Life In the Fast Lane
【结尾】你 被 骗 了
===============
本期用到的MOD：
Bluckbuster
Aperture",〃
2022-07-30 19:05:00,50298,9968,1959,1170,339,674,224,〃,〃,http://i2.hdslb.com/bfs/archive/4ebb86d56f3aff626dc44097c63c05a4c51a5bf8.jpg
2022-07-30 20:05:00,53460,10365,2023,1218,358,708,228,〃,〃,http://i0.hdslb.com/bfs/archive/8509727d051a133d759a60bb6f041bcc31f33d00.jpg
2022-07-30 21:05:00,56135,10715,2080,1269,373,731,230,〃,〃,〃
2022-07-30 22:05:00,59272,11108,2155,1329,391,760,243,〃,〃,〃
2022-07-30 23:05:00,61671,11448,2231,1386,407,781,249,〃,〃,〃
2022-07-31 00:05:00,63290,11686,2280,1415,413,792,252,〃,〃,〃
2022-07-31 01:05:00,64059,11784,2289,1426,417,795,254,〃,〃,〃
2022-07-31 02:05:00,64571,11844,2308,1433,417,797,257,〃,〃,〃
2022-07-31 03:05:00,64833,11874,2310,1436,421,797,257,MC1.20 绝密内容曝光，Mojang看了连夜跑路,〃,http://i2.hdslb.com/bfs/archive/db684c1c54d7e1d4feadbdbca23828180ba6271c.jpg
2022-07-31 04:05:00,64982,11891,2312,1438,421,796,257,我的世界2.0机密内容曝光,〃,〃
2022-07-31 05:05:00,65144,11907,2316,1442,423,795,257,〃,〃,〃
2022-07-31 06:05:00,65276,11921,2316,1446,423,795,257,〃,〃,〃
2022-07-31 07:05:00,65475,11944,2323,1448,423,810,257,〃,〃,〃
2022-07-31 08:05:00,65997,12002,2339,1457,425,814,257,〃,〃,〃
2022-07-31 09:05:00,66916,12109,2355,1475,430,819,257,〃,〃,〃
2022-07-31 10:05:00,68140,12269,2376,1499,438,826,257,〃,〃,〃
2022-07-31 11:05:00,69485,12473,2403,1521,440,834,258,〃,〃,〃
2022-07-31 12:05:00,70985,12709,2429,1558,451,851,259,我的世界2.0机密内容泄露,"1.有些设计师在用户头上悬挂一个钓竿，只不过诱饵并非钻石。
2.“刚出生的婴儿又有什么用呢？”创意提供者花岗岩先生如是说道。
===============
企划&拍摄 GoWon7
文案 GoWon7 LongingCha
配音 _小兰喵_
创意 GoWon7 ABCwewe
地图&Logo GoldenEggs_Block
材质 葫芦涂
剪辑 GoWon7 GoldenEggs_Block
猪灵模型 田头MichaelCreeper
===============
本期用到的BGM：
【开场】Destination DC
【第一节】Blue
【第二节】Shake Down
【第三节】Life In the Fast Lane
【结尾】你 被 骗 了
===============
本期用到的MOD：
Bluckbuster
Aperture",http://i2.hdslb.com/bfs/archive/98906dd6e7d5593e8544a7efcbc6e7ea39eb5299.jpg
2022-07-31 13:05:00,72754,13084,2465,1607,458,857,260,〃,〃,〃
2022-07-31 14:05:00,74424,13480,2481,1655,464,878,262,〃,〃,〃
2022-07-31 15:05:00,75690,13815,2494,1685,467,886,265,〃,〃,〃
2022-07-31 16:05:00,76574,14010,2504,1705,468,890,265,〃,〃,〃
2022-07-31 17:05:00,77506,14238,2517,1727,472,895,266,〃,〃,〃
2022-07-31 18:05:00,78752,14518,2536,1764,480,904,267,〃,〃,〃
2022-07-31 19:05:00,80903,14911,2586,1808,495,915,270,〃,〃,〃
2022-07-31 20:05:00,82891,15352,2622,1862,506,933,275,〃,〃,〃
2022-07-31 21:05:00,84289,15619,2642,1883,511,941,276,〃,〃,〃
2022-07-31 22:05:00,85527,15847,2672,1910,519,959,276,〃,〃,〃
2022-07-31 23:05:00,86624,16051,2690,1931,530,965,277,〃,〃,〃
2022-08-01 00:05:00,87354,16182,2700,1949,532,972,279,〃,〃,〃
2022-08-01 01:05:00,87963,16304,2709,1959,532,976,281,〃,〃,〃
2022-08-01 02:05:00,88317,16369,2715,1968,535,983,282,〃,〃,〃
2022-08-01 03:05:00,88490,16401,2715,1972,537,984,282,〃,〃,〃
2022-08-01 04:05:00,88588,16419,2715,1972,537,985,282,〃,〃,〃
2022-08-01 05:05:00,88646,16436,2715,1975,537,985,282,〃,〃,〃
2022-08-01 06:05:00,88730,16448,2715,1975,537,984,282,〃,〃,〃
2022-08-01 07:05:00,88897,16475,2716,1978,537,983,282,〃,〃,〃
2022-08-01 08:05:00,89252,16521,2722,1984,542,983,283,〃,〃,〃
2022-08-01 09:05:00,89813,16590,2736,1989,544,983,283,〃,〃,〃
2022-08-01 10:05:00,90585,16728,2751,2006,546,995,285,〃,〃,〃
2022-08-01 11:05:00,91432,16926,2770,2025,549,999,285,〃,〃,〃
2022-08-01 12:05:00,92607,17258,2785,2058,558,1124,285,〃,〃,〃
2022-08-01 13:05:00,93830,17667,2807,2095,565,1128,286,〃,〃,〃
2022-08-01 14:05:00,95138,18085,2829,2128,569,1145,288,〃,〃,〃
2022-08-01 15:05:00,96558,18528,2839,2175,573,1156,288,〃,〃,〃
2022-08-01 16:05:00,97738,18810,2848,2213,584,1159,288,〃,〃,〃
2022-08-01 17:05:00,98522,18961,2857,2229,587,1164,290,〃,〃,〃
2022-08-01 18:05:00,99156,19048,2863,2240,590,1166,291,〃,〃,〃
2022-08-01 19:05:00,99881,19153,2881,2254,599,1176,293,〃,〃,〃
2022-08-01 20:05:00,100580,19241,2885,2267,600,1182,294,〃,〃,〃
2022-08-01 21:05:00,101281,19349,2892,2277,603,1197,295,〃,〃,〃
2022-08-01 22:05:00,101869,19436,2894,2289,606,1199,295,〃,〃,〃
2022-08-01 23:05:00,102332,19519,2898,2300,607,1201,295,〃,〃,〃
2022-08-02 00:05:00,102681,19573,2901,2305,608,1203,296,〃,〃,〃
2022-08-02 01:05:00,102907,19615,2903,2308,609,1207,296,〃,〃,〃
2022-08-02 02:05:00,103068,19644,2905,2313,609,1207,296,〃,〃,〃
2022-08-02 03:05:00,103159,19665,2907,2318,609,1207,296,〃,〃,〃
2022-08-02 04:05:00,103209,19674,2907,2320,609,1207,296,〃,〃,〃
2022-08-02 05:05:00,103239,19681,2909,2323,609,1207,296,〃,〃,〃
2022-08-02 06:05:00,103277,19687,2909,2324,610,1207,296,〃,〃,〃
2022-08-02 07:05:00,103367,19697,2909,2325,611,1207,296,〃,〃,〃
2022-08-02 08:05:00,103579,19730,2912,2331,614,1208,297,〃,〃,〃
2022-08-02 09:05:00,103883,19796,2916,2340,614,1212,297,〃,〃,〃
2022-08-02 10:05:00,104297,19861,2923,2345,618,1214,297,〃,〃,〃
2022-08-02 11:05:00,104767,19974,2928,2359,619,1215,298,〃,〃,〃
2022-08-02 12:05:00,105330,20097,2935,2374,621,1219,298,〃,〃,〃
2022-08-02 13:05:00,105832,20216,2945,2381,623,1220,299,〃,〃,〃
2022-08-02 14:05:00,106359,20346,2949,2395,623,1226,300,〃,〃,〃
2022-08-02 15:05:00,107013,20566,2950,2423,625,1231,300,〃,〃,〃
2022-08-02 16:05:00,107566,20695,2954,2436,630,1240,300,〃,〃,〃
2022-08-02 17:05:00,108042,20813,2958,2451,633,1243,300,〃,〃,〃
2022-08-02 18:05:00,108512,20926,2962,2459,635,1245,302,〃,〃,〃
2022-08-02 19:05:00,109017,21038,2969,2468,636,1250,302,〃,〃,〃
2022-08-02 20:05:00,109455,21139,2972,2475,636,1251,303,〃,〃,〃
2022-08-02 21:05:00,109779,21196,2984,2485,638,1253,305,〃,〃,〃
2022-08-02 22:05:00,110816,21342,2998,2500,641,1257,305,〃,〃,〃
2022-08-02 23:05:00,111269,21421,3010,2510,643,1263,305,〃,〃,〃
2022-08-03 00:05:00,111579,21471,3012,2513,645,1268,305,〃,〃,〃
2022-08-03 01:05:00,111784,21505,3014,2515,645,1269,305,〃,〃,〃
2022-08-03 02:05:00,111897,21529,3016,2517,645,1269,305,〃,〃,〃
2022-08-03 03:05:00,111956,21537,3016,2517,646,1269,305,〃,〃,〃
2022-08-03 04:05:00,112005,21544,3016,2518,648,1269,305,〃,〃,〃
2022-08-03 05:05:00,112042,21549,3016,2518,648,1269,305,〃,〃,〃
2022-08-03 06:05:00,112083,21559,3016,2519,648,1270,306,〃,〃,〃
2022-08-03 07:05:00,112161,21565,3018,2520,648,1270,306,〃,〃,〃
2022-08-03 08:05:00,112328,21585,3018,2523,649,1272,306,〃,〃,〃
2022-08-03 09:05:00,112668,21639,3024,2528,652,1276,307,〃,〃,〃
2022-08-03 10:05:00,113066,21714,3028,2536,654,1280,307,〃,〃,〃
2022-08-03 11:05:00,113463,21761,3035,2542,655,1283,307,〃,〃,〃
2022-08-03 12:05:00,113876,21808,3036,2543,661,1283,307,〃,〃,〃
2022-08-03 13:05:00,114239,21866,3042,2548,663,1284,308,〃,〃,〃
2022-08-03 14:05:00,114583,21922,3053,2554,667,1291,309,〃,〃,〃
2022-08-03 15:05:00,114925,21964,3057,2555,668,1293,310,〃,〃,〃
2022-08-03 16:05:00,115255,22010,3064,2559,668,1294,311,〃,〃,〃
2022-08-03 17:05:00,115566,22059,3068,2562,668,1295,311,〃,〃,〃
2022-08-03 18:05:00,115909,22104,3076,2573,671,1295,311,〃,〃,〃
2022-08-03 19:05:00,116298,22148,3079,2578,673,1296,311,〃,〃,〃
2022-08-03 20:05:00,116662,22200,3081,2585,675,1297,311,〃,〃,〃
2022-08-03 21:05:00,116983,22252,3082,2593,676,1302,311,〃,〃,〃
2022-08-03 22:05:00,117297,22286,3083,2595,677,1305,311,〃,〃,〃
2022-08-03 23:05:00,117571,22327,3086,2598,677,1306,311,〃,〃,〃
2022-08-04 00:05:00,117751,22343,3086,2600,677,1306,311,〃,〃,〃
2022-08-04 01:05:00,117857,22361,3086,2602,678,1306,311,〃,〃,〃
2022-08-04 02:05:00,117924,22373,3088,2603,678,1308,312,〃,〃,〃
2022-08-04 03:05:00,117967,22383,3088,2605,680,1308,312,〃,〃,〃
2022-08-04 04:05:00,117990,22389,3088,2605,680,1308,312,〃,〃,〃
2022-08-04 05:05:00,118004,22391,3088,2605,680,1308,312,〃,〃,〃
2022-08-04 06:05:00,118024,22393,3088,2605,680,1308,312,〃,〃,〃
2022-08-04 07:05:00,118057,22400,3091,2607,680,1308,312,〃,〃,〃
2022-08-04 08:05:00,118138,22414,3093,2609,680,1308,312,〃,〃,〃
2022-08-04 09:05:00,118275,22430,3093,2609,680,1310,312,〃,〃,〃
2022-08-04 10:05:00,118473,22453,3097,2614,680,1311,314,〃,〃,〃
2022-08-04 11:05:00,118698,22495,3099,2618,681,1311,314,〃,〃,〃
2022-08-04 12:05:00,118963,22531,3109,2622,681,1312,314,〃,〃,〃
